Id,SalePrice
1461,118558.16
1462,170796.5
1463,181816.35
1464,188514.85
1465,185522.4
1466,180910.95
1467,175790.0
1468,171791.15
1469,188859.25
1470,132389.03
1471,198417.6
1472,89620.0
1473,92311.0
1474,154049.0
1475,112789.75
1476,345109.02
1477,253334.83
1478,307808.67
1479,261967.65
1480,470183.34
1481,321526.45
1482,208916.62
1483,194595.0
1484,163484.95
1485,168687.2
1486,206845.3
1487,318849.54
1488,227665.83
1489,199581.75
1490,211186.4
1491,191361.4
1492,98572.83
1493,181805.0
1494,305439.31
1495,299867.05
1496,219155.2
1497,186584.85
1498,158796.0
1499,162050.35
1500,159134.8
1501,177125.05
1502,153054.05
1503,286064.16
1504,221756.44
1505,220797.27
1506,192696.5
1507,241067.11
1508,197209.74
1509,154555.64
1510,149311.5
1511,148568.5
1512,168334.44
1513,150575.14
1514,157094.14
1515,224749.32
1516,154414.0
1517,151350.04
1518,146180.24
1519,213293.47
1520,143297.5
1521,150413.0
1522,156237.5
1523,117841.41
1524,119140.49
1525,120051.99
1526,123648.0
1527,105306.07
1528,127029.75
1529,150399.0
1530,159354.5
1531,130393.0
1532,110712.83
1533,161031.5
1534,115762.5
1535,156301.45
1536,133758.5
1537,85325.76
1538,170635.59
1539,178599.0
1540,135114.75
1541,134043.25
1542,142208.0
1543,199972.3
1544,85909.59
1545,111018.5
1546,117394.74
1547,145769.0
1548,125373.0
1549,103626.14
1550,135660.0
1551,117212.0
1552,139813.0
1553,150456.75
1554,120795.25
1555,182181.14
1556,94761.99
1557,126964.5
1558,86199.09
1559,131509.0
1560,132778.25
1561,164395.24
1562,128778.14
1563,116435.47
1564,165617.0
1565,141060.84
1566,194580.85
1567,84256.95
1568,211781.4
1569,156425.5
1570,130282.5
1571,137637.0
1572,149383.5
1573,244976.13
1574,143074.0
1575,196108.7
1576,204293.65
1577,189968.75
1578,130414.57
1579,141833.8
1580,188333.2
1581,141506.65
1582,128282.63
1583,334151.32
1584,232475.87
1585,138206.0
1586,86182.21
1587,103721.25
1588,157382.5
1589,102038.59
1590,132397.42
1591,103942.99
1592,135124.5
1593,110678.15
1594,145643.0
1595,135293.25
1596,246251.24
1597,172657.5
1598,176139.85
1599,161681.96
1600,176646.75
1601,80879.45
1602,112943.5
1603,94287.17
1604,276366.26
1605,231660.36
1606,168966.0
1607,187999.46
1608,198665.85
1609,188953.35
1610,162512.42
1611,153379.0
1612,183166.2
1613,179268.8
1614,134744.55
1615,97499.5
1616,88888.93
1617,93979.0
1618,122343.74
1619,126699.7
1620,184068.22
1621,131472.74
1622,155808.5
1623,288747.94
1624,212234.6
1625,117282.65
1626,169243.0
1627,183594.47
1628,277031.37
1629,172976.45
1630,410655.71
1631,202943.03
1632,251220.33
1633,168740.25
1634,194670.85
1635,174801.32
1636,164363.75
1637,189560.04
1638,195564.05
1639,189869.24
1640,254214.25
1641,179343.5
1642,222113.9
1643,218052.86
1644,220252.61
1645,181306.5
1646,153528.1
1647,161662.49
1648,149675.0
1649,136402.0
1650,121494.25
1651,124866.76
1652,99737.64
1653,98657.47
1654,152391.95
1655,141139.34
1656,151158.45
1657,155269.45
1658,158713.25
1659,117516.4
1660,135599.4
1661,461397.66
1662,360524.8
1663,381193.89
1664,469356.96
1665,329060.57
1666,343740.79
1667,365297.78
1668,349882.97
1669,286029.84
1670,351401.76
1671,281631.9
1672,453802.65
1673,288590.59
1674,244482.99
1675,196666.1
1676,190175.1
1677,205762.0
1678,470998.48
1679,385023.93
1680,346600.39
1681,239863.86
1682,318738.13
1683,188913.4
1684,169998.1
1685,170621.52
1686,173677.55
1687,167964.85
1688,190566.95
1689,188208.9
1690,182746.4
1691,172486.05
1692,233267.57
1693,168807.35
1694,175398.0
1695,167042.35
1696,260173.89
1697,166857.5
1698,339160.47
1699,345057.18
1700,253062.39
1701,287506.76
1702,254084.5
1703,246090.8
1704,292185.16
1705,223393.17
1706,449199.08
1707,205567.9
1708,207679.2
1709,261020.83
1710,211185.41
1711,240396.3
1712,242244.14
1713,270390.99
1714,231523.64
1715,197251.0
1716,191061.75
1717,178506.2
1718,161324.7
1719,211550.4
1720,247881.64
1721,153288.25
1722,139670.55
1723,160665.25
1724,195864.65
1725,233781.78
1726,197216.75
1727,183876.7
1728,180674.35
1729,154330.94
1730,138520.87
1731,124224.59
1732,125716.62
1733,109379.04
1734,124015.83
1735,135060.35
1736,112734.06
1737,337616.04
1738,205507.05
1739,287161.32
1740,231089.18
1741,181910.05
1742,177629.0
1743,177726.65
1744,294841.78
1745,229462.44
1746,198447.87
1747,188158.45
1748,208751.78
1749,161592.0
1750,149933.95
1751,222979.0
1752,114644.22
1753,154151.74
1754,198902.0
1755,166961.95
1756,127057.63
1757,111677.81
1758,146770.0
1759,157870.5
1760,166067.85
1761,155197.5
1762,165578.5
1763,168573.24
1764,120884.81
1765,184345.68
1766,163352.5
1767,202648.14
1768,154449.5
1769,160002.85
1770,135344.35
1771,143212.5
1772,155366.5
1773,149003.5
1774,159958.22
1775,130794.0
1776,110947.63
1777,106368.45
1778,129978.6
1779,104147.09
1780,159044.85
1781,142267.0
1782,94950.94
1783,132786.25
1784,104914.53
1785,113891.57
